id,title,year,authors,source,url,research_stream,key_contribution,main_limitation,relevance_to_project_aegis,verification_status
P001,Agentic Trading: When LLM Agents Meet Financial Markets,2026,"Yihan Xia; Panpan You; Taotao Wang; Fang Liu; Han Qi; Xiaoxiao Wu; Shengli Zhang",arXiv,https://arxiv.org/abs/2605.19337,Survey / evaluation / reproducibility,"Reviews 77 LLM trading-agent studies and highlights protocol incomparability, weak transaction-cost reporting, and poor reproducibility.","Survey lens rather than a validated final taxonomy; field still immature.",Core evidence for reproducibility and evaluation gap,verified_arxiv
P002,AI Agents in Financial Markets: Architecture Applications and Systemic Implications,2026,Hui Gong,arXiv,https://arxiv.org/abs/2603.13942,Architecture / systemic risk,"Proposes a four-layer architecture and Agentic Financial Market Model linking agent design to market outcomes.","More conceptual and systemic than implementation-driven.",Supports trust and governance framing,needs_reverification
P003,When Agents Trade: Live Multi-Market Trading Benchmark for LLM Agents,2025,"Lingfei Qian; Xueqing Peng; Yan Wang; Vincent Jim Zhang; Huan He; Hanley Smith; Yi Han; Yueru He; Haohang Li; Yupeng Cao; Yangyang Yu; Alejandro Lopez-Lira; Peng Lu; Jian-Yun Nie; Guojun Xiong; Jimin Huang; Sophia Ananiadou",arXiv,https://arxiv.org/abs/2510.11695,Benchmark / live evaluation,"Introduces Agent Market Arena, a lifelong real-time benchmark across stocks and crypto with multiple agent architectures and model backbones.","Still early; benchmark coverage and real-world frictions need further validation.",Supports benchmark and continuous evaluation gap,needs_reverification
P004,TradingAgents: Multi-Agents LLM Financial Trading Framework,2024,"Yijia Xiao; Edward Sun; Di Luo; Wei Wang",arXiv,https://arxiv.org/abs/2412.20138,Multi-agent trading,"Models a trading firm with role-specialized agents such as fundamental analyst sentiment analyst technical analyst trader bull/bear researchers and risk managers.","Performance claims require strict reproducibility and transaction-cost review.",Baseline for multi-agent financial workflow,needs_reverification
P005,FinRobot: An Open-Source AI Agent Platform for Financial Applications using Large Language Models,2024,"Hongyang Yang; Boyu Zhang; Neng Wang; Cheng Guo; Xiaoli Zhang; Likun Lin; Junlin Wang; Tianyu Zhou; Mao Guan; Runjia Zhang; Christina Dan Wang",arXiv,https://arxiv.org/abs/2405.14767,Open-source platform,"Introduces an open-source financial AI agent platform with Financial AI Agents, Financial LLM Algorithms, LLMOps/DataOps, and multi-source foundation model layers.","Platform contribution more than formal evaluation theory.",Useful infrastructure reference,needs_reverification
P006,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,2023,"Yangyang Yu; Haohang Li; Zhi Chen; Yuechen Jiang; Yang Li; Denghui Zhang; Rong Liu; Jordan W. Suchow; Khaldoun Khashanah",arXiv,https://arxiv.org/abs/2311.13743,Memory-based agent,"Introduces profiling, layered memory, and decision-making modules for financial trading agents.","Memory is trading-decision focused; broader thesis and macro memory remain underdeveloped.",Supports long-term memory research gap,needs_reverification
P007,Large Language Model Agents for Investment Management,2025,TO_VERIFY,TO_VERIFY,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5447274,Investment management agents,"Candidate record: may frame LLM agents for investment management and trading workflows.","Metadata and source details must be verified before use as evidence.",Potential support for transition from trading agents to investment research agents,metadata_unverified
P008,Large Language Model Agents in Finance: A Survey,2025,TO_VERIFY,TO_VERIFY,https://aclanthology.org/2025.findings-emnlp.972.pdf,Survey,"Candidate record: may cover data analysis, investment research, trading, investment management, and risk management.","Metadata and source details must be verified before use as evidence.",Potential literature positioning source,metadata_unverified
P009,Large Language Models in Equity Markets,2025,TO_VERIFY,Frontiers,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1608365/full,Equity market survey,"Candidate record: may review LLM applications in equity-market analysis including news, financial statements, sentiment, and prediction.","Metadata and author details must be verified before use as evidence.",Potential baseline for equity market literature,metadata_unverified
P010,A Risk-First Evaluation Framework for Multi-Agent LLM Systems in Financial Markets,2026,TO_VERIFY,TO_VERIFY,https://aclanthology.org/2026.findings-acl.1934.pdf,Risk evaluation,"Candidate record: may argue that multi-agent financial systems need risk-first evaluation beyond return and accuracy.","Metadata and source details must be verified before use as evidence.",Potential support for risk-first evaluation,metadata_unverified
P011,Evaluating LLMs in Finance Requires Explicit Bias Assessment,2026,TO_VERIFY,arXiv,https://arxiv.org/abs/2602.14233,Bias / evaluation,"Candidate record: may argue that explicit bias assessment is necessary for finance LLM evaluation.","Metadata and source details must be verified before use as evidence.",Potential support for bias-aware auditability,metadata_unverified
P012,ESMA / Alan Turing / ILB LLMs in Finance Report,2025,"ESMA; Alan Turing Institute; ILB",Regulatory report,https://www.esma.europa.eu/sites/default/files/2025-06/LLMs_in_finance_-_ILB_ESMA_Turing_Report.pdf,Governance / regulation,"Discusses responsible adoption of LLMs in finance.","Policy report rather than agent architecture paper.",Supports regulatory alignment gap,needs_reverification
P013,Finance Agent Benchmark: Benchmarking LLMs on Real-world Financial Research Tasks,2025,"Antoine Bigeard; Langston Nashold; Rayan Krishnan; Shirley Wu",arXiv,https://arxiv.org/abs/2508.00828,Benchmark / investment research tasks,"Builds a benchmark of 537 expert-authored finance research questions using SEC filings and an agentic tool harness with Google Search and EDGAR access.","Best model accuracy reported as below 50 percent, showing current limitations; benchmark is still mainly task-answering rather than full portfolio workflow.",Core evidence for real-world finance research task difficulty,verified_arxiv
P014,Evaluation and Benchmarking Suite for Financial Large Language Models and Agents,2026,"Shengyuan Lin; Kaiwen He; Jaisal Patel; Qinchuan Zhang; Chris Ding; James Tang; Keyi Wang; Yupeng Cao; Yan Wang; Kairong Xiao; Vincent Caldeira; Matt White; Xiao-Yang Liu Yanglet",arXiv,https://arxiv.org/abs/2602.19073,Benchmark / governance / platform,"Presents a suite covering the lifecycle of FinLLMs and FinAgents, including evaluation pipeline, governance framework, leaderboard, AgentOps framework, and documentation platform.","Very broad suite; investment-research-specific audit and thesis workflow still need refinement.",Important for evaluation lifecycle and governance framing,verified_arxiv
P015,HedgeAgents: A Balanced-aware Multi-agent Financial Trading System,2025,"Xiangyu Li; Yawen Zeng; Xiaofen Xing; Jin Xu; Xiangmin Xu",arXiv,https://arxiv.org/abs/2502.13165,Multi-agent trading / hedging,"Introduces a fund manager plus hedging experts across asset classes to improve robustness during rapid declines and high volatility.","Reports very strong returns that require careful independent reproduction, cost treatment, and regime testing.",Good case for risk-aware multi-agent design and skepticism,needs_reverification
